index,dms_origin,city_origin,state_origin,dms_dest,city_dest,state_dest,category,mode,total_ktons,total_ton_mile,total_m_dollar
414231,Rest of WA,none,Washington,Rest of NV,none,Nevada,Machinery,Multiple modes & mail,0.0892,0.0743,1.2047
401066,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,St. Louis MO-IL (MO Part),St. Louis,Missouri,Electronics,Truck,0.1588,0.1329,38.5286
59648,Rest of CT,none,Connecticut,Salt Lake City UT,Salt Lake City,Utah,Plastics/rubber,Truck,0.2799,0.657,2.2151
149676,Baton Rouge LA,Baton Rouge,Louisiana,Rest of AL,none,Alabama,Nonmetal min. prods.,Truck,6.6544,2.9107,0.2813
395237,Richmond VA,Richmond,Virginia,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Misc. mfg. prods.,Truck,0.2698,0.2745,0.2584
322453,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Charleston SC,Charleston,South Carolina,Base metals,Truck,8.0,5.1938,9.0153
90151,Rest of GA,none,Georgia,Buffalo NY  CFS Area,Buffalo,New York,Meat/seafood,Truck,3.2039999999999997,2.7143,13.475999999999999
282780,Cleveland OH,Cleveland,Ohio,Birmingham AL,Birmingham,Alabama,Articles-base metal,Truck,0.253,0.1955,1.9163
394235,Vermont,none,Vermont,West Virginia,none,West Virginia,Printed prods.,Truck,0.59,0.4895,14.020999999999999
16538,Rest of AZ,none,Arizona,Montana,none,Montana,Electronics,Multiple modes & mail,0.0622,0.0752,1.6086
380417,San Antonio TX,San Antonio,Texas,Rest of OR,none,Oregon,Motorized vehicles,Truck,3.094,6.9037,15.2172
398324,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Precision instruments,Multiple modes & mail,0.098,0.0723,3.0527
54471,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Denver CO,Denver,Colorado,Misc. mfg. prods.,Air (include truck-air),0.1327,0.2225,0.2679
112896,Indianapolis IN,Indianapolis,Indiana,Arkansas,none,Arkansas,Machinery,Multiple modes & mail,0.1327,0.0615,1.9138
111444,Chicago IL-IN-WI (IN Part),Chicago,Indiana,Boston MA-RI-NH-CT (NH Part),Boston,New Hampshire,Electronics,Truck,0.0047,0.0049,0.0645
35141,San Francisco CA,San Francisco,California,Indianapolis IN,Indianapolis,Indiana,Electronics,Air (include truck-air),0.0207,0.0396,0.0178
205590,St. Louis MO-IL (MO Part),St. Louis,Missouri,San Francisco CA,San Francisco,California,Machinery,Multiple modes & mail,0.249,0.5387,5.9783
8268,Rest of AL,none,Alabama,Nashville TN,Nashville,Tennessee,Misc. mfg. prods.,Multiple modes & mail,0.1389,0.0268,7.7633
233266,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Furniture,Truck,6.0509,5.0891,45.0915
334928,Charleston SC,Charleston,South Carolina,Denver CO,Denver,Colorado,Electronics,Multiple modes & mail,0.08800000000000001,0.1763,0.2374
132956,Wichita KS,Wichita,Kansas,Rest of CA,none,California,Base metals,Truck,0.2098,0.3748,0.2656
421754,Milwaukee WI,Milwaukee,Wisconsin,Dayton OH,Dayton,Ohio,Meat/seafood,Truck,0.0071,0.003,0.1402
248776,Buffalo NY  CFS Area,Buffalo,New York,Tulsa OK,Tulsa,Oklahoma,Nonmetal min. prods.,Truck,0.3091,0.3604,0.3303
143085,Louisville KY-IN (KY Part),Louisville,Kentucky,Rest of KY,none,Kentucky,Chemical prods.,Multiple modes & mail,0.0015,0.0002,2.1715
226156,Rest of NV,none,Nevada,Austin TX,Austin,Texas,Motorized vehicles,Multiple modes & mail,0.0063,0.0118,0.1472
287131,Cleveland OH,Cleveland,Ohio,Rest of TX,none,Texas,Printed prods.,Truck,0.9708,1.2178,3.0676
8032,Rest of AL,none,Alabama,Rest of PA,none,Pennsylvania,Articles-base metal,Truck,15.03,12.9804,36.104
92478,Honolulu HI,Honolulu,Hawaii,New York NY-NJ-CT-PA (NY Part),New York,New York,Meat/seafood,Air (include truck-air),0.1211,0.6022,3.4228
407544,Seattle WA,Seattle,Washington,Indianapolis IN,Indianapolis,Indiana,Chemical prods.,Truck,0.746,1.7311,0.4731
154558,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Portland OR-WA (OR Part),Portland,Oregon,Electronics,Multiple modes & mail,0.0009,0.0024,0.243
258884,Rest of NY,none,New York,Fort Wayne IN,Fort Wayne,Indiana,Textiles/leather,Multiple modes & mail,0.0889,0.0511,0.8179
39045,Fresno CA,Fresno,California,Rest of GA,none,Georgia,Electronics,Multiple modes & mail,0.0013,0.0034,0.4086
404790,Rest of VA,none,Virginia,Raleigh-Durham NC,Raleigh-Durham,North Carolina,Machinery,Multiple modes & mail,0.16899999999999998,0.0419,1.0715
58621,Rest of CT,none,Connecticut,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Furniture,Truck,40.8667,2.7311,248.8559
384080,Rest of TX,none,Texas,Tulsa OK,Tulsa,Oklahoma,Mixed freight,Multiple modes & mail,0.325,0.1971,1.9759
346984,South Dakota,none,South Dakota,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,Printed prods.,Multiple modes & mail,0.0973,0.155,0.2188
152818,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Birmingham AL,Birmingham,Alabama,Plastics/rubber,Truck,1.7109999999999999,0.6176,33.319
329739,Rest of PA,none,Pennsylvania,Rest of NC,none,North Carolina,Animal feed,Truck,30.123,21.1464,45.229
101843,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Memphis TN-MS-AR (TN Part),Memphis,Tennessee,Electronics,Multiple modes & mail,2.2474,1.2582,102.0
74240,Tampa FL,Tampa,Florida,Phoenix AZ,Phoenix,Arizona,Misc. mfg. prods.,Truck,0.485,1.0121,2.314
291585,Columbus OH,Columbus,Ohio,Wyoming,none,Wyoming,Motorized vehicles,Truck,0.9958,1.5928,3.9308
269324,Raleigh-Durham NC,Raleigh-Durham,North Carolina,Mobile AL,Mobile,Alabama,Motorized vehicles,Truck,0.0182,0.0131,0.0655
28591,Sacramento CA,Sacramento,California,Baton Rouge LA,Baton Rouge,Louisiana,Precision instruments,Air (include truck-air),0.1109,0.1966,0.7408
304835,Tulsa OK,Tulsa,Oklahoma,Vermont,none,Vermont,Articles-base metal,Multiple modes & mail,0.0001,0.0002,0.0059
341243,Rest of SC,none,South Carolina,Orlando FL,Orlando,Florida,Misc. mfg. prods.,Truck,1.1124,0.4378,13.2412
131980,Kansas City MO-KS (KS Part),Kansas City,Kansas,Knoxville TN,Knoxville,Tennessee,Mixed freight,Truck,0.0343,0.0297,0.0883
302385,Tulsa OK,Tulsa,Oklahoma,Philadelphia PA-NJ-DE-MD (DE Part),Philadelphia,Delaware,Misc. mfg. prods.,Truck,0.0004,0.0005,0.0017
57447,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Salt Lake City UT,Salt Lake City,Utah,Electronics,Multiple modes & mail,0.5808,1.4475,46.873000000000005
336491,Charleston SC,Charleston,South Carolina,Rest of PA,none,Pennsylvania,Motorized vehicles,Truck,0.0088,0.0061,0.048
43327,Rest of CA,none,California,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Chemical prods.,Air (include truck-air),0.0001,0.0002,0.2
209257,Rest of MO,none,Missouri,Birmingham AL,Birmingham,Alabama,Chemical prods.,Multiple modes & mail,0.1201,0.0538,0.2511
178770,Detroit MI,Detroit,Michigan,Rest of LA,none,Louisiana,Animal feed,Multiple modes & mail,0.1484,0.1597,0.0328
2342,Birmingham AL,Birmingham,Alabama,Rest of PA,none,Pennsylvania,Alcoholic beverages,Truck,2.9801,2.5399,11.992
90892,Rest of GA,none,Georgia,Charleston SC,Charleston,South Carolina,Waste/scrap,Truck,15.0708,4.9021,5.2533
38247,San Francisco CA,San Francisco,California,West Virginia,none,West Virginia,Textiles/leather,Truck,0.1815,0.4868,0.2895
256893,Rochester NY,Rochester,New York,Oklahoma City OK,Oklahoma City,Oklahoma,Mixed freight,Truck,0.0947,0.1313,0.244
32370,San Diego CA,San Diego,California,Greensboro--Winston-Salem--High Point NC,Greensboro,North Carolina,Furniture,Multiple modes & mail,0.0006,0.0017,0.1429
398773,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Rest of NY,none,New York,Articles-base metal,Multiple modes & mail,0.0566,0.034,0.2293
4544,Mobile AL,Mobile,Alabama,Tulsa OK,Tulsa,Oklahoma,Electronics,Truck,0.0118,0.0087,0.1629
9020,Alaska,none,Alaska,Alaska,none,Alaska,Fuel oils,Pipeline,581.0,588.9016,503.353
261849,Charlotte NC-SC (NC Part),Charlotte,North Carolina,Alaska,none,Alaska,Furniture,Air (include truck-air),0.0001,0.0004,1.7761
286021,Cleveland OH,Cleveland,Ohio,Columbus OH,Columbus,Ohio,Plastics/rubber,Truck,95.744,13.5648,271.27
14909,Tucson AZ,Tucson,Arizona,South Dakota,none,South Dakota,Furniture,Truck,0.0125,0.0191,0.0505
80095,Rest of FL,none,Florida,Boston MA-RI-NH-CT (RI Part),Boston,Rhode Island,Furniture,Truck,0.3214,0.4556,1.3006
169356,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Phoenix AZ,Phoenix,Arizona,Precision instruments,Air (include truck-air),0.1385,0.3167,18.615
145156,Louisville KY-IN (KY Part),Louisville,Kentucky,Richmond VA,Richmond,Virginia,Furniture,Truck,0.7168,0.4218,4.5266
238112,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,Iowa,none,Iowa,Plastics/rubber,Truck,0.2383,0.271,2.0215
45087,Denver CO,Denver,Colorado,Kansas City MO-KS (KS Part),Kansas City,Kansas,Basic chemicals,Truck,41.0,28.8342,27.959
17176,Rest of AZ,none,Arizona,Rest of TN,none,Tennessee,Articles-base metal,Multiple modes & mail,0.063,0.11199999999999999,0.1035
430318,Wyoming,none,Wyoming,Rest of WA,none,Washington,Mixed freight,Truck,0.31,0.3298,0.7986
316253,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Baton Rouge LA,Baton Rouge,Louisiana,Electronics,Truck,0.1725,0.2207,24.6392
148535,Rest of KY,none,Kentucky,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Textiles/leather,Multiple modes & mail,0.1108,0.0577,1.9308
403267,Rest of VA,none,Virginia,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Printed prods.,Multiple modes & mail,0.0947,0.0725,0.3121
26977,Los Angeles CA,Los Angeles,California,Salt Lake City UT,Salt Lake City,Utah,Furniture,Multiple modes & mail,0.6521,0.47600000000000003,33.887
156309,Rest of LA,none,Louisiana,Rest of LA,none,Louisiana,Live animals/fish,Truck,139.6682,11.6268,272.2704
44311,Denver CO,Denver,Colorado,Denver CO,Denver,Colorado,Animal feed,Truck,971.4768,17.9745,168.521
152969,New Orleans LA-MS (LA Part),New Orleans,Louisiana,Arkansas,none,Arkansas,Natural sands,Truck,2.9872,1.6208,0.0008
312135,Rest of OR,none,Oregon,Denver CO,Denver,Colorado,Wood prods.,Rail,122.40700000000001,181.5173,47.7
221970,Las Vegas NV-AZ (NV Part),Las Vegas,Nevada,Sacramento CA,Sacramento,California,Articles-base metal,Multiple modes & mail,0.0995,0.0457,2.7297
201651,Mississippi,none,Mississippi,Milwaukee WI,Milwaukee,Wisconsin,Precision instruments,Air (include truck-air),0.1935,0.1163,0.3706
11148,Phoenix AZ,Phoenix,Arizona,Rest of KS,none,Kansas,Electronics,Truck,0.0636,0.0838,0.8753
242177,New Mexico,none,New Mexico,New Mexico,none,New Mexico,Articles-base metal,Truck,127.4697,2.3607,723.8262
234546,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Rest of NE,none,Nebraska,Electronics,Air (include truck-air),0.0996,0.1487,0.3706
1494,Birmingham AL,Birmingham,Alabama,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Nonmetal min. prods.,Truck,0.0001,0.0001,0.2946
39679,Fresno CA,Fresno,California,Rest of NV,none,Nevada,Furniture,Truck,1.2351,0.4837,2.2498
321042,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Rest of MI,none,Mississippi,Coal-n.e.c.,Truck,3.6903,1.7236,8.257
181621,Detroit MI,Detroit,Michigan,Milwaukee WI,Milwaukee,Wisconsin,Base metals,Truck,13.937000000000001,5.7364,53.233000000000004
336608,Charleston SC,Charleston,South Carolina,Greenville SC,Greenville,South Carolina,Misc. mfg. prods.,Multiple modes & mail,0.0472,0.0113,0.2161
248392,Buffalo NY  CFS Area,Buffalo,New York,Rest of NY,none,New York,Motorized vehicles,Truck,17.2657,3.7309,81.7503
286649,Cleveland OH,Cleveland,Ohio,Rest of SC,none,South Carolina,Textiles/leather,Truck,2.6082,1.6466,9.7218
199257,Mississippi,none,Mississippi,Wichita KS,Wichita,Kansas,Electronics,Truck,4.655,3.4799,21.1221
178456,Detroit MI,Detroit,Michigan,Iowa,none,Iowa,Pharmaceuticals,Multiple modes & mail,0.0828,0.0482,30.371
209367,Rest of MO,none,Missouri,Phoenix AZ,Phoenix,Arizona,Articles-base metal,Multiple modes & mail,0.0004,0.0006,0.0287
72935,Orlando FL,Orlando,Florida,Rest of NY,none,New York,Misc. mfg. prods.,Multiple modes & mail,0.0797,0.0997,0.8904
233171,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Honolulu HI,Honolulu,Hawaii,Misc. mfg. prods.,Multiple modes & mail,1.6935,8.2213,16.7625
232829,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Jacksonville FL-GA  CFS Area (FL Part),Jacksonville,Florida,Motorized vehicles,Truck,0.0432,0.0424,0.2362
1149,Birmingham AL,Birmingham,Alabama,Louisville KY-IN (KY Part),Louisville,Kentucky,Motorized vehicles,Multiple modes & mail,0.0001,0.0,0.1588
403180,Rest of VA,none,Virginia,Rest of GA,none,Georgia,Textiles/leather,Truck,17.04,11.4029,54.0
167020,Rest of MD,none,Maryland,Honolulu HI,Honolulu,Hawaii,Mixed freight,Multiple modes & mail,0.0353,0.1675,0.091
92810,Honolulu HI,Honolulu,Hawaii,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Misc. mfg. prods.,Multiple modes & mail,0.5889,2.7663,3.0872
144833,Louisville KY-IN (KY Part),Louisville,Kentucky,Rest of TN,none,Tennessee,Coal-n.e.c.,Pipeline,0.8568,0.1543,0.2001
306076,Rest of OK,none,Oklahoma,Lake Charles LA,Lake Charles,Louisiana,Mixed freight,Truck,2.9337,1.8431,18.952
112977,Indianapolis IN,Indianapolis,Indiana,Sacramento CA,Sacramento,California,Furniture,Truck,0.0447,0.0982,0.1809
414478,Rest of WA,none,Washington,Charlotte NC-SC (NC Part),Charlotte,North Carolina,Mixed freight,Truck,0.1447,0.4146,0.7037
361496,Austin TX,Austin,Texas,Rest of AL,none,Alabama,Building stone,Truck,1.9736,1.8715,0.7984
97174,Chicago IL-IN-WI (IL Part),Chicago,Illinois,Arkansas,none,Arkansas,Motorized vehicles,Multiple modes & mail,0.8102,0.3703,9.1803
280592,Cincinnati OH-KY-IN (OH Part),Cincinnati,Ohio,Mississippi,none,Mississippi,Coal-n.e.c.,Truck,1.3439,0.8993,3.5637
83505,Atlanta GA,Atlanta,Georgia,Rest of NE,none,Nebraska,Machinery,Truck,0.1662,0.1979,4.2167
76110,Tampa FL,Tampa,Florida,Rochester NY,Rochester,New York,Tobacco prods.,Multiple modes & mail,0.2054,0.3169,10.23
161828,Baltimore MD,Baltimore,Maryland,Cincinnati OH-KY-IN (KY Part),Cincinnati,Kentucky,Basic chemicals,Truck,1.9528,1.0543,24.456999999999997
37482,San Francisco CA,San Francisco,California,Rest of TN,none,Tennessee,Other foodstuffs,Truck,1.0298,2.4859,1.8643
325507,New York NY-NJ-CT-PA (PA Part),New York,Pennsylvania,Rest of OH,none,Ohio,Mixed freight,Multiple modes & mail,0.0001,0.0,0.043
238656,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Basic chemicals,Multiple modes & mail,0.0001,0.0001,2.8521
76043,Tampa FL,Tampa,Florida,Buffalo NY  CFS Area,Buffalo,New York,Chemical prods.,Multiple modes & mail,0.1519,0.2276,0.7415
351749,Nashville TN,Nashville,Tennessee,St. Louis MO-IL (IL Part),St. Louis,Illinois,Misc. mfg. prods.,Truck,0.0527,0.0209,1.0443
276780,North Dakota,none,North Dakota,Rest of FL,none,Florida,Printed prods.,Air (include truck-air),0.0721,0.1074,0.2132
376544,Houston TX,Houston,Texas,Portland OR-WA (OR Part),Portland,Oregon,Nonmetal min. prods.,Multiple modes & mail,0.0115,0.027999999999999997,0.0026
187016,Rest of MI,none,Mississippi,Grand Rapids MI,Grand Rapids,Michigan,Plastics/rubber,Truck,31.136,3.3089999999999997,170.637
357326,Knoxville TN,Knoxville,Tennessee,Rest of WA,none,Washington,Motorized vehicles,Multiple modes & mail,0.1089,0.2801,0.2018
3843,Mobile AL,Mobile,Alabama,Louisville KY-IN (KY Part),Louisville,Kentucky,Base metals,Truck,4.1586,2.5977,3.0483
125339,Iowa,none,Iowa,Iowa,none,Iowa,Basic chemicals,Rail,18.332,0.1962,1.0494
48802,Rest of CO,none,Colorado,Wichita KS,Wichita,Kansas,Motorized vehicles,Truck,4.2034,2.9912,20.8373
390678,Rest of UT,none,Utah,Cleveland OH,Cleveland,Ohio,Precision instruments,Multiple modes & mail,0.0726,0.1249,0.7091
300312,Oklahoma City OK,Oklahoma City,Oklahoma,Rest of MI,none,Mississippi,Machinery,Multiple modes & mail,0.0772,0.0775,0.7763
391737,Vermont,none,Vermont,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Base metals,Truck,0.1926,0.0536,6.8002
2417,Birmingham AL,Birmingham,Alabama,Greenville SC,Greenville,South Carolina,Printed prods.,Truck,0.1469,0.0522,0.7527
17365,Rest of AZ,none,Arizona,Salt Lake City UT,Salt Lake City,Utah,Textiles/leather,Multiple modes & mail,0.0757,0.0522,1.2875
274274,Rest of NC,none,North Carolina,St. Louis MO-IL (MO Part),St. Louis,Missouri,Natural sands,Truck,0.0054,0.0049,0.0001
81925,Atlanta GA,Atlanta,Georgia,Rest of FL,none,Florida,Precision instruments,Truck,17.0,12.6495,326.0
400162,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,San Diego CA,San Diego,California,Motorized vehicles,Truck,0.0817,0.2178,0.4472
347598,Memphis TN-MS-AR (TN Part),Memphis,Tennessee,Fresno CA,Fresno,California,Coal-n.e.c.,Truck,0.4611,0.9087,0.8168
8871,Rest of AL,none,Alabama,West Virginia,none,West Virginia,Furniture,Truck,0.1237,0.1092,0.5003
373769,Houston TX,Houston,Texas,Phoenix AZ,Phoenix,Arizona,Electronics,Multiple modes & mail,0.2435,0.2902,9.8323
55953,New York NY-NJ-CT-PA (CT Part),New York,Connecticut,Omaha NE-IA (NE Part),Omaha,Nebraska,Machinery,Truck,0.0293,0.0393,17.17
289801,Columbus OH,Columbus,Ohio,New Mexico,none,New Mexico,Base metals,Truck,0.0935,0.1584,0.7716
13397,Tucson AZ,Tucson,Arizona,Rest of CA,none,California,Pharmaceuticals,Truck,0.3309,0.2871,0.03
244765,Albany NY  CFS Area,Albany,New York,Philadelphia PA-NJ-DE-MD (NJ Part),Philadelphia,New Jersey,Animal feed,Truck,0.0021,0.0007,0.0002
120502,Rest of IN,none,Indiana,Honolulu HI,Honolulu,Hawaii,Mixed freight,Multiple modes & mail,0.0312,0.1314,0.0804
34748,San Francisco CA,San Francisco,California,Atlanta GA,Atlanta,Georgia,Alcoholic beverages,Multiple modes & mail,1.7368,4.766,19.0
324737,New York NY-NJ-CT-PA (PA Part),New York,Pennsylvania,Rest of MN,none,Minnesota,Misc. mfg. prods.,Multiple modes & mail,0.8348,1.0789,4.4158
275398,Rest of NC,none,North Carolina,Rest of PA,none,Pennsylvania,Articles-base metal,Multiple modes & mail,0.1086,0.0667,0.2785
257515,Rochester NY,Rochester,New York,San Antonio TX,San Antonio,Texas,Printed prods.,Multiple modes & mail,0.0001,0.0002,0.5535
22614,Los Angeles CA,Los Angeles,California,Rest of CT,none,Connecticut,Other foodstuffs,Truck,6.7784,19.8306,12.799000000000001
168981,Rest of MD,none,Maryland,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Machinery,Truck,0.2062,0.0317,0.9790000000000001
34612,San Francisco CA,San Francisco,California,Miami FL,Miami,Florida,Misc. mfg. prods.,Air (include truck-air),0.0001,0.0002,1.1503
322705,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Plastics/rubber,Multiple modes & mail,0.1347,0.1786,7.0015
277145,North Dakota,none,North Dakota,Baton Rouge LA,Baton Rouge,Louisiana,Other ag prods.,Truck,6.9894,11.806,0.0685
43509,Rest of CA,none,California,Salt Lake City UT,Salt Lake City,Utah,Chemical prods.,Multiple modes & mail,0.1226,0.096,0.2138
199349,Mississippi,none,Mississippi,Rest of KY,none,Kentucky,Base metals,Multiple modes & mail,0.1852,0.1052,0.294
35777,San Francisco CA,San Francisco,California,Grand Rapids MI,Grand Rapids,Michigan,Motorized vehicles,Multiple modes & mail,0.0003,0.0007,0.5165
426848,Rest of WI,none,Wisconsin,Rest of OH,none,Ohio,Precision instruments,Multiple modes & mail,0.0946,0.0466,0.9620000000000001
352312,Nashville TN,Nashville,Tennessee,Washington DC-VA-MD-WV (MD Part),Washington DC,Maryland,Misc. mfg. prods.,Truck,0.2971,0.2123,0.6679
357549,Rest of TN,none,Tennessee,Rest of AL,none,Alabama,Misc. mfg. prods.,Truck,4.1287,1.8562,32.6636
109129,Rest of IL,none,Illinois,Rest of TN,none,Tennessee,Newsprint/paper,Truck,3.054,2.4263,24.723000000000003
303217,Tulsa OK,Tulsa,Oklahoma,Boston MA-RI-NH-CT (MA Part),Boston,Massachusetts,Transport equip.,Truck,0.2014,0.3201,0.4556
380848,San Antonio TX,San Antonio,Texas,Dallas-Fort Worth TX-OK (TX Part),Dallas-Fort Worth,Texas,Misc. mfg. prods.,Truck,11.0982,3.4616,32.2179
377897,Houston TX,Houston,Texas,Wyoming,none,Wyoming,Precision instruments,Truck,0.2629,0.3476,10.687000000000001
119751,Rest of IN,none,Indiana,Rest of AL,none,Alabama,Misc. mfg. prods.,Multiple modes & mail,0.068,0.0275,0.1763
317362,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Albany NY  CFS Area,Albany,New York,Furniture,Multiple modes & mail,0.0086,0.0023,0.1218
1704,Birmingham AL,Birmingham,Alabama,Rest of NE,none,Nebraska,Textiles/leather,Truck,0.1436,0.1574,1.3814
215275,Montana,none,Montana,Portland OR-WA (WA Part),Portland,Washington,Textiles/leather,Multiple modes & mail,0.0772,0.0543,0.1851
148489,Rest of KY,none,Kentucky,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Newsprint/paper,Rail,13.957,11.9232,10.889000000000001
157732,Rest of LA,none,Louisiana,Laredo TX,Laredo,Texas,Wood prods.,Truck,1.3507,0.9183,0.3469
195777,Rest of MN,none,Minnesota,Rest of LA,none,Louisiana,Motorized vehicles,Truck,0.0013,0.0019,0.0069
279076,Cincinnati OH-KY-IN (OH Part),Cincinnati,Ohio,Denver CO,Denver,Colorado,Meat/seafood,Truck,0.0067,0.0083,0.0088
358061,Rest of TN,none,Tennessee,Miami FL,Miami,Florida,Motorized vehicles,Truck,14.1513,15.5179,36.1002
189699,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Fresno CA,Fresno,California,Machinery,Multiple modes & mail,0.1476,0.3345,4.1419
424685,Rest of WI,none,Wisconsin,Rest of IN,none,Indiana,Animal feed,Truck,69.21300000000001,36.7526,12.944
414633,Rest of WA,none,Washington,Dayton OH,Dayton,Ohio,Base metals,Truck,1.0963,2.549,5.2151
250655,New York NY-NJ-CT-PA (NY Part),New York,New York,Miami FL,Miami,Florida,Plastics/rubber,Truck,5.6434,7.2244,19.733
162119,Baltimore MD,Baltimore,Maryland,Rest of MD,none,Maryland,Fertilizers,Truck,56.57,12.3442,40.805
12238,Phoenix AZ,Phoenix,Arizona,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Printed prods.,Multiple modes & mail,0.0225,0.0584,1.1763
321195,Pittsburgh PA-OH-WV (PA Part),Pittsburgh,Pennsylvania,Kansas City MO-KS (MO Part),Kansas City,Missouri,Motorized vehicles,Truck,0.0045,0.0042,0.0248
234753,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,New York NY-NJ-CT-PA (NJ Part),New York,New Jersey,Mixed freight,Truck,1969.2476,45.2725,7383.9475
96378,Idaho,none,Idaho,Houston TX,Houston,Texas,Machinery,Truck,0.0573,0.11199999999999999,1.1455
276094,Rest of NC,none,North Carolina,Virginia Beach-Norfolk VA-NC (VA Part),Virginia Beach,Virginia,Wood prods.,Truck,73.1565,26.3,22.9023
304239,Tulsa OK,Tulsa,Oklahoma,Philadelphia PA-NJ-DE-MD (PA Part),Philadelphia,Maryland,Plastics/rubber,Truck,0.1829,0.2355,0.9440000000000001
119152,Fort Wayne IN,Fort Wayne,Indiana,Knoxville TN,Knoxville,Tennessee,Articles-base metal,Multiple modes & mail,0.0001,0.0001,0.2967
254750,Rochester NY,Rochester,New York,Los Angeles CA,Los Angeles,California,Furniture,Multiple modes & mail,0.0019,0.0052,0.263
194373,Minneapolis-St. Paul MN-WI (MN Part),Minneapolis-St. Paul,Minnesota,Milwaukee WI,Milwaukee,Wisconsin,Pharmaceuticals,Multiple modes & mail,0.18899999999999997,0.0732,0.3498
339005,Greenville SC,Greenville,South Carolina,Buffalo NY  CFS Area,Buffalo,New York,Articles-base metal,Truck,0.1351,0.1038,0.7972
397023,Richmond VA,Richmond,Virginia,Washington DC-VA-MD-WV (VA Part),Washington DC,Virginia,Misc. mfg. prods.,Multiple modes & mail,0.1788,0.0141,55.7
3905,Mobile AL,Mobile,Alabama,Lake Charles LA,Lake Charles,Louisiana,Chemical prods.,Truck,0.1836,0.066,0.9147
186334,Rest of MI,none,Mississippi,Indianapolis IN,Indianapolis,Indiana,Alcoholic beverages,Truck,3.0688,1.8659,3.3205
385322,Rest of TX,none,Texas,West Virginia,none,West Virginia,Machinery,Multiple modes & mail,0.08199999999999999,0.1197,3.7929
141813,Louisville KY-IN (KY Part),Louisville,Kentucky,Birmingham AL,Birmingham,Alabama,Electronics,Multiple modes & mail,0.0628,0.0242,1.5138
285448,Cleveland OH,Cleveland,Ohio,New Mexico,none,New Mexico,Furniture,Truck,0.2137,0.3692,0.8648
282594,Cincinnati OH-KY-IN (OH Part),Cincinnati,Ohio,Seattle WA,Seattle,Washington,Furniture,Truck,0.2603,0.6349,1.5433
133989,Wichita KS,Wichita,Kansas,Grand Rapids MI,Grand Rapids,Michigan,Textiles/leather,Multiple modes & mail,3.6843,2.9601,18.022000000000002
162358,Baltimore MD,Baltimore,Maryland,Mississippi,none,Mississippi,Articles-base metal,Truck,1.9043,2.129,6.2182
229724,Rest of NH,none,New Hampshire,Tucson AZ,Tucson,Arizona,Misc. mfg. prods.,Multiple modes & mail,0.107,0.2946,0.2786
392104,Vermont,none,Vermont,Indianapolis IN,Indianapolis,Indiana,Articles-base metal,Multiple modes & mail,0.0476,0.0433,0.1602
149059,Rest of KY,none,Kentucky,Houston TX,Houston,Texas,Other foodstuffs,Truck,7.3575,8.0355,20.635
